PING 198.51.100.100 (198.51.100.100) 1232(1260) bytes of data.
From 192.168.10.22: icmp_seq=1 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=2 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=3 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=4 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.66 icmp_seq=1 Destination Host Unreachable
From 192.168.10.66 icmp_seq=3 Destination Host Unreachable
From 192.168.10.66 icmp_seq=4 Destination Host Unreachable
From 192.168.10.22: icmp_seq=5 Redirect Host(New nexthop: 192.168.10.33)
From 192.168.10.22: icmp_seq=6 Redirect Host(New nexthop: 192.168.10.33)
1240 bytes from 198.51.100.100: icmp_seq=154 ttl=51 time=60.5 ms
1240 bytes from 198.51.100.100: icmp_seq=155 ttl=51 time=24.8 ms
1240 bytes from 198.51.100.100: icmp_seq=156 ttl=51 time=28.2 ms
1240 bytes from 198.51.100.100: icmp_seq=157 ttl=51 time=47.7 ms
1240 bytes from 198.51.100.100: icmp_seq=158 ttl=51 time=50.1 ms
1240 bytes from 198.51.100.100: icmp_seq=159 ttl=51 time=29.5 ms
1240 bytes from 198.51.100.100: icmp_seq=161 ttl=51 time=339 ms
1240 bytes from 198.51.100.100: icmp_seq=166 ttl=51 time=37.0 ms
1240 bytes from 198.51.100.100: icmp_seq=172 ttl=51 time=52.9 ms
1240 bytes from 198.51.100.100: icmp_seq=173 ttl=51 time=27.7 ms
1240 bytes from 198.51.100.100: icmp_seq=175 ttl=51 time=64.5 ms
1240 bytes from 198.51.100.100: icmp_seq=176 ttl=51 time=56.5 ms
1240 bytes from 198.51.100.100: icmp_seq=177 ttl=51 time=50.5 ms
1240 bytes from 198.51.100.100: icmp_seq=179 ttl=51 time=23.8 ms
1240 bytes from 198.51.100.100: icmp_seq=181 ttl=51 time=33.2 ms
1240 bytes from 198.51.100.100: icmp_seq=182 ttl=51 time=52.7 ms
1240 bytes from 198.51.100.100: icmp_seq=186 ttl=51 time=25.3 ms
1240 bytes from 198.51.100.100: icmp_seq=187 ttl=51 time=31.2 ms
1240 bytes from 198.51.100.100: icmp_seq=188 ttl=51 time=38.4 ms
1240 bytes from 198.51.100.100: icmp_seq=189 ttl=51 time=57.8 ms
1240 bytes from 198.51.100.100: icmp_seq=192 ttl=51 time=52.4 ms
1240 bytes from 198.51.100.100: icmp_seq=196 ttl=51 time=60.2 ms
1240 bytes from 198.51.100.100: icmp_seq=197 ttl=51 time=29.4 ms
1240 bytes from 198.51.100.100: icmp_seq=198 ttl=51 time=26.7 ms
1240 bytes from 198.51.100.100: icmp_seq=200 ttl=51 time=46.6 ms
1240 bytes from 198.51.100.100: icmp_seq=201 ttl=51 time=53.4 ms
